;Exposure time;Dose;Charge
0;1;1.8;1
1;1;1.7142857142857142;0
2;1;5.4;0
3;1;5.4;1
4;1;0.47368421052631576;0
5;1;16.2;0
6;1;16.2;1
7;1;15.428571428571429;0
8;28;1.8;0
9;28;1.8;1
10;28;1.7142857142857142;0
11;1;4.2631578947368425;0
12;28;0.8737864077669902;0
13;28;5.4;0
14;28;5.4;1
15;28;5.142857142857143;0
16;28;2.6213592233009706;0
17;28;2.6213592233009706;0
18;28;16.2;0
19;28;16.2;1
20;28;1.4210526315789473;0
21;28;7.864077669902912;0
22;28;7.864077669902912;0
23;28;4.2631578947368425;0
24;1;0.493185310385497;0
25;1;0.5021906663728474;0
26;23;1.2623140807582942;0
27;6;0.6748475785373143;0
28;5;0.6459394426172532;0
29;23;1.247300990665168;0
30;9;0.7619137038564041;0
31;15;0.9708218825989622;0
32;12;0.8828952808188465;0
33;20;1.145151340865013;0
34;17;1.0533343213159385;0
35;4;0.6058362890387765;0
36;8;0.7504528249281014;0
37;10;0.8207638515413922;0
38;15;0.9889863307417555;0
39;22;1.2175351213196972;0
40;22;1.2318879958499749;0
41;14;0.9338831636081574;0
42;12;0.8598177768675387;0
43;2;0.5176898646821031;0
