;Exposure time;Dose;Charge
0;1;1.8;1
1;1;1.7142857142857142;0
2;1;5.4;0
3;1;5.4;1
4;1;0.47368421052631576;0
5;1;16.2;0
6;1;16.2;1
7;1;15.428571428571429;0
8;28;1.8;0
9;28;1.8;1
10;28;1.7142857142857142;0
11;1;4.2631578947368425;0
12;28;0.8737864077669902;0
13;28;5.4;0
14;28;5.4;1
15;28;5.142857142857143;0
16;28;2.6213592233009706;0
17;28;2.6213592233009706;0
18;28;16.2;0
19;28;16.2;1
20;28;1.4210526315789473;0
21;28;7.864077669902912;0
22;28;7.864077669902912;0
23;28;4.2631578947368425;0
24;26;1.665548168337331;0
25;27;1.4241512998726675;0
26;1;5.4;1
27;11;1.4457061749367393;0
28;17;2.6315271512656646;0
29;1;5.3718835434415455;0
30;27;1.4297920768577996;0
31;13;1.3598398309577702;0
32;17;1.244143074773159;0
33;2;1.9679963875690156;1
34;27;0.992574535107881;0
35;7;1.5844040206111552;0
36;3;1.7656649300717733;0
37;11;3.672733568457139;0
