;Exposure time;Dose;Charge
0;1;1.8;1
1;1;1.7142857142857142;0
2;1;5.4;0
3;1;5.4;1
4;1;0.47368421052631576;0
5;1;16.2;0
6;1;16.2;1
7;1;15.428571428571429;0
8;28;1.8;0
9;28;1.8;1
10;28;1.7142857142857142;0
11;1;4.2631578947368425;0
12;28;0.8737864077669902;0
13;28;5.4;0
14;28;5.4;1
15;28;5.142857142857143;0
16;28;2.6213592233009706;0
17;28;2.6213592233009706;0
18;28;16.2;0
19;28;16.2;1
20;28;1.4210526315789473;0
21;28;7.864077669902912;0
22;28;7.864077669902912;0
23;28;4.2631578947368425;0
24;2;0.5287107904751362;0
25;4;0.6397062853168096;0
26;11;1.597319439533723;0
27;8;0.8608721599757712;0
28;28;1.7982356147746454;0
29;27;1.6769558316295416;0
30;5;1.6651523533174168;0
31;28;4.6355792015582065;0
32;5;0.6459394426172532;0
33;28;1.4748329013855934;0
34;19;1.7142857142857142;0
35;28;3.3120217772948854;0
