;Exposure time;Dose;Charge
0;1;1.8;1
1;1;1.7142857142857142;0
2;1;5.4;0
3;1;5.4;1
4;1;0.47368421052631576;0
5;1;16.2;0
6;1;16.2;1
7;1;15.428571428571429;0
8;28;1.8;0
9;28;1.8;1
10;28;1.7142857142857142;0
11;1;4.2631578947368425;0
12;28;0.8737864077669902;0
13;28;5.4;0
14;28;5.4;1
15;28;5.142857142857143;0
16;28;2.6213592233009706;0
17;28;2.6213592233009706;0
18;28;16.2;0
19;28;16.2;1
20;28;1.4210526315789473;0
21;28;7.864077669902912;0
22;28;7.864077669902912;0
23;28;4.2631578947368425;0
24;27;1.7133195762122753;0
25;28;1.712001885807199;0
26;28;1.5332197077031506;0
27;28;1.6004095733762627;0
28;28;1.423124706041872;0
29;1;0.5022954897130345;0
30;28;1.5604044229317504;0
31;28;1.5970332488955266;0
32;28;1.7006017980050299;0
33;28;1.7065899641715556;0
34;21;1.425509239315788;0
35;28;1.6877169101745864;0
36;11;0.8352132543160226;0
37;28;1.533203140296386;0
38;27;1.6934819260009026;0
39;15;1.1352189670231827;0
40;4;0.6063722462498015;0
41;9;0.7765507529168402;0
