;Exposure time;Dose;Charge
0;1;1.8;1
1;1;1.7142857142857142;0
2;1;5.4;0
3;1;5.4;1
4;1;0.47368421052631576;0
5;1;16.2;0
6;1;16.2;1
7;1;15.428571428571429;0
8;28;1.8;0
9;28;1.8;1
10;28;1.7142857142857142;0
11;1;4.2631578947368425;0
12;28;0.8737864077669902;0
13;28;5.4;0
14;28;5.4;1
15;28;5.142857142857143;0
16;28;2.6213592233009706;0
17;28;2.6213592233009706;0
18;28;16.2;0
19;28;16.2;1
20;28;1.4210526315789473;0
21;28;7.864077669902912;0
22;28;7.864077669902912;0
23;28;4.2631578947368425;0
24;28;1.8400934987445807;0
25;28;5.24325248623732;0
26;28;2.2876725171460253;0
27;28;0.9811700230792717;0
28;28;5.39690133170628;0
29;28;1.4304011483009351;0
30;28;1.0831258575312803;0
31;28;3.642259256501326;0
32;28;2.612877490566624;0
33;28;1.4487346123772538;0
34;28;2.050943115455777;0
35;28;1.9225730591383883;0
36;28;5.214319782160562;0
37;28;2.6942832088114015;0
38;28;2.2145743565295652;0
39;28;2.4630178813989536;0
