Y_column;Model;Hyperparameters;Accuracy_kfold;Precision_kfold;Recall_kfold;F1_kfold;ROC_AUC_kfold;Confusion Matrix (k-fold);Accuracy_ext;Precision_ext;Recall_ext;F1_ext;ROC_AUC_ext;Confusion Matrix (External);NOT in AD train;NOT in AD test
263;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150};0.9166666666666666;0.9411764705882353;0.8888888888888888;0.9142857142857143;0.9166666666666666;"[[17  1]
 [ 2 16]]";0.75;0.0;0.0;0.0;0.5;"[[6 0]
 [2 0]]";[];[]
264;RF;{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50};0.8611111111111112;0.9333333333333333;0.7777777777777778;0.8484848484848485;0.861111111111111;"[[17  1]
 [ 4 14]]";1.0;0.0;0.0;0.0;;[[8]];[];[]
265;RF;{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100};0.9;0.9;0.9;0.9;0.9;"[[18  2]
 [ 2 18]]";1.0;0.0;0.0;0.0;;[[8]];[];[]
266;RF;{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 40};0.868421052631579;0.85;0.8947368421052632;0.8717948717948718;0.868421052631579;"[[16  3]
 [ 2 17]]";0.875;0.0;0.0;0.0;;"[[7 1]
 [0 0]]";[];[]
267;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.95;0.9090909090909091;1.0;0.9523809523809523;0.9500000000000001;"[[18  2]
 [ 0 20]]";1.0;0.0;0.0;0.0;;[[8]];[];[]
268;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100};0.8125;0.8571428571428571;0.75;0.8;0.8125;"[[14  2]
 [ 4 12]]";1.0;0.0;0.0;0.0;;[[8]];[];[]
269;RF;{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.8333333333333334;0.9285714285714286;0.7222222222222222;0.8125;0.8333333333333334;"[[17  1]
 [ 5 13]]";0.875;0.0;0.0;0.0;0.5;"[[7 0]
 [1 0]]";[];[]
270;RF;{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150};0.875;0.8571428571428571;0.9;0.8780487804878049;0.875;"[[17  3]
 [ 2 18]]";0.875;0.0;0.0;0.0;0.5;"[[7 0]
 [1 0]]";[];[]
271;RF;{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50};0.9444444444444444;0.9444444444444444;0.9444444444444444;0.9444444444444444;0.9444444444444444;"[[17  1]
 [ 1 17]]";1.0;0.0;0.0;0.0;;[[8]];[];[]
272;RF;{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 40};0.8333333333333334;0.8333333333333334;0.8333333333333334;0.8333333333333334;0.8333333333333334;"[[15  3]
 [ 3 15]]";1.0;0.0;0.0;0.0;;[[8]];[];[]
273;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.8157894736842105;0.8;0.8421052631578947;0.8205128205128205;0.8157894736842104;"[[15  4]
 [ 3 16]]";1.0;0.0;0.0;0.0;;[[8]];[];[]
274;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};1.0;1.0;1.0;1.0;1.0;"[[20  0]
 [ 0 20]]";1.0;0.0;0.0;0.0;;[[8]];[];[]
275;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.8421052631578947;0.8421052631578947;0.8421052631578947;0.8421052631578947;0.8421052631578947;"[[16  3]
 [ 3 16]]";1.0;0.0;0.0;0.0;;[[8]];[];[]
276;RF;{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100};0.868421052631579;0.8888888888888888;0.8421052631578947;0.8648648648648649;0.868421052631579;"[[17  2]
 [ 3 16]]";0.75;0.0;0.0;0.0;0.5;"[[6 0]
 [2 0]]";[];[]
277;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.7894736842105263;0.7391304347826086;0.8947368421052632;0.8095238095238095;0.7894736842105263;"[[13  6]
 [ 2 17]]";0.75;0.0;0.0;0.0;;"[[6 2]
 [0 0]]";[];[]
278;RF;{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 40};0.8125;0.7777777777777778;0.875;0.8235294117647058;0.8125;"[[12  4]
 [ 2 14]]";0.875;0.0;0.0;0.0;0.5;"[[7 0]
 [1 0]]";[];[]
279;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.95;0.9090909090909091;1.0;0.9523809523809523;0.9500000000000001;"[[18  2]
 [ 0 20]]";1.0;0.0;0.0;0.0;;[[8]];[];[]
280;RF;{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 40};0.925;0.9473684210526315;0.9;0.9230769230769231;0.9249999999999999;"[[19  1]
 [ 2 18]]";0.875;0.0;0.0;0.0;0.5;"[[7 0]
 [1 0]]";[];[]
281;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.8421052631578947;0.76;1.0;0.8636363636363636;0.8421052631578947;"[[13  6]
 [ 0 19]]";0.75;0.0;0.0;0.0;0.4285714285714286;"[[6 1]
 [1 0]]";[];[]
282;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100};0.90625;0.9333333333333333;0.875;0.9032258064516129;0.90625;"[[15  1]
 [ 2 14]]";0.875;0.0;0.0;0.0;0.5;"[[7 0]
 [1 0]]";[];[]
283;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.9545454545454546;0.0;0.0;0.0;0.5;"[[21  0]
 [ 1  0]]";0.875;0.0;0.0;0.0;0.5;"[[7 0]
 [1 0]]";[];[]
284;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 150};0.6764705882352942;0.6666666666666666;0.7058823529411765;0.6857142857142857;0.6764705882352942;"[[11  6]
 [ 5 12]]";0.75;0.0;0.0;0.0;0.4285714285714286;"[[6 1]
 [1 0]]";[];[]
285;RF;{'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 150};0.7777777777777778;0.7272727272727273;0.8888888888888888;0.8;0.7777777777777778;"[[12  6]
 [ 2 16]]";0.875;0.0;0.0;0.0;0.5;"[[7 0]
 [1 0]]";[];[]
286;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 150};0.8611111111111112;0.8823529411764706;0.8333333333333334;0.8571428571428571;0.8611111111111112;"[[16  2]
 [ 3 15]]";0.875;0.0;0.0;0.0;0.5;"[[7 0]
 [1 0]]";[];[]
287;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.8823529411764706;0.8095238095238095;1.0;0.8947368421052632;0.8823529411764706;"[[13  4]
 [ 0 17]]";1.0;0.0;0.0;0.0;;[[8]];[];[]
288;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50};0.825;0.7407407407407407;1.0;0.851063829787234;0.825;"[[13  7]
 [ 0 20]]";0.625;0.0;0.0;0.0;;"[[5 3]
 [0 0]]";[];[]
289;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.9210526315789473;0.8636363636363636;1.0;0.926829268292683;0.9210526315789473;"[[16  3]
 [ 0 19]]";1.0;0.0;0.0;0.0;;[[8]];[];[]
290;RF;{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100};0.6842105263157895;0.7058823529411765;0.631578947368421;0.6666666666666666;0.6842105263157895;"[[14  5]
 [ 7 12]]";1.0;0.0;0.0;0.0;;[[8]];[];[]
291;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};1.0;1.0;1.0;1.0;1.0;"[[20  0]
 [ 0 20]]";0.875;0.0;0.0;0.0;0.5;"[[7 0]
 [1 0]]";[];[]
292;RF;{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100};0.9736842105263158;0.95;1.0;0.9743589743589743;0.9736842105263158;"[[18  1]
 [ 0 19]]";1.0;0.0;0.0;0.0;;[[8]];[];[]
293;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.8157894736842105;0.8;0.8421052631578947;0.8205128205128205;0.8157894736842104;"[[15  4]
 [ 3 16]]";1.0;0.0;0.0;0.0;;[[8]];[];[]
294;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150};0.8888888888888888;0.8888888888888888;0.8888888888888888;0.8888888888888888;0.8888888888888888;"[[16  2]
 [ 2 16]]";1.0;0.0;0.0;0.0;;[[8]];[];[]
295;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.9545454545454546;0.0;0.0;0.0;0.5;"[[21  0]
 [ 1  0]]";1.0;0.0;0.0;0.0;;[[8]];[];[]
296;RF;{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.8846153846153846;0.9166666666666666;0.8461538461538461;0.88;0.8846153846153848;"[[12  1]
 [ 2 11]]";0.875;0.5;1.0;0.6666666666666666;0.9285714285714286;"[[6 1]
 [0 1]]";[];[]
297;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.8157894736842105;0.8;0.8421052631578947;0.8205128205128205;0.8157894736842104;"[[15  4]
 [ 3 16]]";1.0;0.0;0.0;0.0;;[[8]];[];[]
298;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.9545454545454546;0.0;0.0;0.0;0.5;"[[21  0]
 [ 1  0]]";0.875;0.0;0.0;0.0;0.5;"[[7 0]
 [1 0]]";[];[]
299;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50};0.8823529411764706;0.8823529411764706;0.8823529411764706;0.8823529411764706;0.8823529411764706;"[[15  2]
 [ 2 15]]";0.875;0.0;0.0;0.0;0.5;"[[7 0]
 [1 0]]";[];[]
300;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.85;0.7916666666666666;0.95;0.8636363636363636;0.85;"[[15  5]
 [ 1 19]]";1.0;0.0;0.0;0.0;;[[8]];[];[]
301;RF;{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50};0.9473684210526315;0.9473684210526315;0.9473684210526315;0.9473684210526315;0.9473684210526315;"[[18  1]
 [ 1 18]]";0.75;0.0;0.0;0.0;0.4285714285714286;"[[6 1]
 [1 0]]";[];[]
302;RF;{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.7666666666666667;0.75;0.8;0.7741935483870968;0.7666666666666667;"[[11  4]
 [ 3 12]]";0.875;0.0;0.0;0.0;;"[[7 1]
 [0 0]]";[];[]
303;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.9545454545454546;0.0;0.0;0.0;0.5;"[[21  0]
 [ 1  0]]";0.875;0.0;0.0;0.0;0.5;"[[7 0]
 [1 0]]";[];[]
304;RF;{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.825;0.782608695652174;0.9;0.8372093023255814;0.825;"[[15  5]
 [ 2 18]]";0.875;0.0;0.0;0.0;0.5;"[[7 0]
 [1 0]]";[];[]
305;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.9545454545454546;0.0;0.0;0.0;0.5;"[[21  0]
 [ 1  0]]";0.875;0.0;0.0;0.0;0.5;"[[7 0]
 [1 0]]";[];[]
306;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 40};0.8947368421052632;0.8947368421052632;0.8947368421052632;0.8947368421052632;0.8947368421052632;"[[17  2]
 [ 2 17]]";1.0;0.0;0.0;0.0;;[[8]];[];[]
307;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
308;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.9545454545454546;0.0;0.0;0.0;0.5;"[[21  0]
 [ 1  0]]";1.0;0.0;0.0;0.0;;[[8]];[];[]
309;RF;{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.925;0.9047619047619048;0.95;0.926829268292683;0.9249999999999999;"[[18  2]
 [ 1 19]]";1.0;0.0;0.0;0.0;;[[8]];[];[]
310;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100};0.9473684210526315;0.9047619047619048;1.0;0.95;0.9473684210526316;"[[17  2]
 [ 0 19]]";1.0;0.0;0.0;0.0;;[[8]];[];[]
311;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.9545454545454546;0.0;0.0;0.0;0.5;"[[21  0]
 [ 1  0]]";1.0;0.0;0.0;0.0;;[[8]];[];[]
312;RF;{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.8888888888888888;0.9375;0.8333333333333334;0.8823529411764706;0.888888888888889;"[[17  1]
 [ 3 15]]";0.875;0.0;0.0;0.0;0.5;"[[7 0]
 [1 0]]";[];[]
313;RF;{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100};0.8529411764705882;0.9285714285714286;0.7647058823529411;0.8387096774193549;0.8529411764705882;"[[16  1]
 [ 4 13]]";0.875;0.0;0.0;0.0;0.5;"[[7 0]
 [1 0]]";[];[]
314;RF;{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 40};0.75;0.7647058823529411;0.7222222222222222;0.7428571428571429;0.7500000000000001;"[[14  4]
 [ 5 13]]";0.875;0.0;0.0;0.0;;"[[7 1]
 [0 0]]";[];[]
315;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.9411764705882353;0.8947368421052632;1.0;0.9444444444444444;0.9411764705882353;"[[15  2]
 [ 0 17]]";0.875;0.0;0.0;0.0;0.5;"[[7 0]
 [1 0]]";[];[]
316;RF;{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50};0.8611111111111112;0.8823529411764706;0.8333333333333334;0.8571428571428571;0.8611111111111112;"[[16  2]
 [ 3 15]]";0.75;0.5;0.5;0.5;0.6666666666666666;"[[5 1]
 [1 1]]";[];[]
317;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.9545454545454546;0.0;0.0;0.0;0.5;"[[21  0]
 [ 1  0]]";1.0;0.0;0.0;0.0;;[[8]];[];[]
318;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.9545454545454546;0.0;0.0;0.0;0.5;"[[21  0]
 [ 1  0]]";1.0;0.0;0.0;0.0;;[[8]];[];[]
319;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.9545454545454546;0.0;0.0;0.0;0.5;"[[21  0]
 [ 1  0]]";0.875;0.0;0.0;0.0;0.5;"[[7 0]
 [1 0]]";[];[]
320;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.9545454545454546;0.0;0.0;0.0;0.5;"[[21  0]
 [ 1  0]]";0.875;0.0;0.0;0.0;0.5;"[[7 0]
 [1 0]]";[];[]
321;RF;{'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 40};0.631578947368421;0.631578947368421;0.631578947368421;0.631578947368421;0.631578947368421;"[[12  7]
 [ 7 12]]";0.375;0.0;0.0;0.0;;"[[3 5]
 [0 0]]";[];[]
322;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.9545454545454546;0.0;0.0;0.0;0.5;"[[21  0]
 [ 1  0]]";1.0;0.0;0.0;0.0;;[[8]];[];[]
323;RF;{'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50};0.9;0.8333333333333334;1.0;0.9090909090909091;0.9;"[[16  4]
 [ 0 20]]";1.0;0.0;0.0;0.0;;[[8]];[];[]
324;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.9;0.8636363636363636;0.95;0.9047619047619048;0.9;"[[17  3]
 [ 1 19]]";1.0;1.0;1.0;1.0;1.0;"[[7 0]
 [0 1]]";[];[]
325;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.9444444444444444;0.9;1.0;0.9473684210526315;0.9444444444444444;"[[16  2]
 [ 0 18]]";1.0;0.0;0.0;0.0;;[[8]];[];[]
326;RF;{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.925;0.9047619047619048;0.95;0.926829268292683;0.9249999999999999;"[[18  2]
 [ 1 19]]";1.0;0.0;0.0;0.0;;[[8]];[];[]
327;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100};0.975;0.9523809523809523;1.0;0.975609756097561;0.975;"[[19  1]
 [ 0 20]]";0.875;0.0;0.0;0.0;0.5;"[[7 0]
 [1 0]]";[];[]
328;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.8157894736842105;0.8;0.8421052631578947;0.8205128205128205;0.8157894736842104;"[[15  4]
 [ 3 16]]";1.0;0.0;0.0;0.0;;[[8]];[];[]
329;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.9545454545454546;0.0;0.0;0.0;0.5;"[[21  0]
 [ 1  0]]";1.0;0.0;0.0;0.0;;[[8]];[];[]
330;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100};0.8823529411764706;0.8095238095238095;1.0;0.8947368421052632;0.8823529411764706;"[[13  4]
 [ 0 17]]";1.0;0.0;0.0;0.0;;[[8]];[];[]
331;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150};0.8823529411764706;0.8823529411764706;0.8823529411764706;0.8823529411764706;0.8823529411764706;"[[15  2]
 [ 2 15]]";1.0;0.0;0.0;0.0;;[[8]];[];[]
332;RF;{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100};0.8947368421052632;0.8571428571428571;0.9473684210526315;0.9;0.8947368421052629;"[[16  3]
 [ 1 18]]";0.625;0.0;0.0;0.0;;"[[5 3]
 [0 0]]";[];[]
333;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.9545454545454546;0.0;0.0;0.0;0.5;"[[21  0]
 [ 1  0]]";1.0;0.0;0.0;0.0;;[[8]];[];[]
334;RF;{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 40};0.8235294117647058;0.7894736842105263;0.8823529411764706;0.8333333333333334;0.8235294117647058;"[[13  4]
 [ 2 15]]";0.875;0.0;0.0;0.0;;"[[7 1]
 [0 0]]";[];[]
335;RF;{'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100};0.925;0.8695652173913043;1.0;0.9302325581395349;0.9249999999999999;"[[17  3]
 [ 0 20]]";1.0;0.0;0.0;0.0;;[[8]];[];[]
336;RF;{'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 40};0.9210526315789473;0.8636363636363636;1.0;0.926829268292683;0.9210526315789473;"[[16  3]
 [ 0 19]]";1.0;0.0;0.0;0.0;;[[8]];[];[]
337;RF;{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100};0.95;0.95;0.95;0.95;0.95;"[[19  1]
 [ 1 19]]";1.0;0.0;0.0;0.0;;[[8]];[];[]
338;RF;{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50};0.8055555555555556;0.7894736842105263;0.8333333333333334;0.8108108108108109;0.8055555555555556;"[[14  4]
 [ 3 15]]";0.875;0.0;0.0;0.0;0.5;"[[7 0]
 [1 0]]";[];[]
